Month,Race/Ethnicity,action_taken,CALLS FOR SERVICE,CHECK POINT,EQUIPMENT VIOLATION,MISSING,OTHER INVESTIGATIVE DETENTION,TERRY STOP,TRAFFIC VIOLATION
2021-12,UNKNOWN,NO ENFORCEMENT ACTION,1,0,0,0,0,3,1
2021-12,UNKNOWN,WARNING ISSUED,1,0,2,0,0,0,63
2021-12,WHITE,ARREST,3,0,0,0,0,1,9
2021-12,WHITE,CITATION/SUMMONS,14,0,31,0,0,3,553
2021-12,WHITE,NO ENFORCEMENT ACTION,9,0,0,0,1,2,4
2021-12,WHITE,WARNING ISSUED,2,0,11,0,2,10,183
2022-01,AAPI,ARREST,1,0,0,0,0,0,0
2022-01,AAPI,CITATION/SUMMONS,11,0,1,0,1,0,81
2022-01,AAPI,WARNING ISSUED,0,0,3,0,0,0,48
2022-01,BLACK,ARREST,2,0,0,0,0,2,4
2022-01,BLACK,CITATION/SUMMONS,6,0,8,0,1,1,150
2022-01,BLACK,NO ENFORCEMENT ACTION,3,0,0,0,0,3,3
2022-01,BLACK,WARNING ISSUED,0,0,3,0,0,1,97
2022-01,INDIGENOUS,CITATION/SUMMONS,0,0,0,0,0,0,4
2022-01,INDIGENOUS,WARNING ISSUED,0,0,0,0,0,0,2
2022-01,LATINO,ARREST,11,0,0,0,0,2,15
2022-01,LATINO,CITATION/SUMMONS,21,0,12,0,2,1,214
2022-01,LATINO,NO ENFORCEMENT ACTION,2,0,0,0,0,3,3
2022-01,LATINO,WARNING ISSUED,0,0,10,0,0,2,66
2022-01,UNKNOWN,ARREST,0,0,0,0,0,0,1
2022-01,UNKNOWN,CITATION/SUMMONS,4,0,5,0,0,0,214
2022-01,UNKNOWN,NO ENFORCEMENT ACTION,0,0,0,0,0,4,1
2022-01,UNKNOWN,WARNING ISSUED,0,0,2,0,0,0,48
2022-01,WHITE,ARREST,7,0,0,0,0,1,3
2022-01,WHITE,CITATION/SUMMONS,26,0,16,0,2,2,387
2022-01,WHITE,NO ENFORCEMENT ACTION,5,0,0,0,0,7,3
2022-01,WHITE,WARNING ISSUED,1,0,16,0,0,3,149
2022-02,AAPI,ARREST,1,0,0,0,0,0,0
2022-02,AAPI,CITATION/SUMMONS,3,0,2,0,0,0,116
2022-02,AAPI,NO ENFORCEMENT ACTION,0,0,0,0,0,3,0
2022-02,AAPI,WARNING ISSUED,0,0,3,0,0,2,37
2022-02,BLACK,ARREST,2,0,0,0,0,0,3
2022-02,BLACK,CITATION/SUMMONS,7,0,10,0,1,0,208
2022-02,BLACK,NO ENFORCEMENT ACTION,2,0,0,0,0,5,7
2022-02,BLACK,WARNING ISSUED,0,0,12,0,1,4,113
2022-02,INDIGENOUS,ARREST,1,0,0,0,0,0,0
2022-02,INDIGENOUS,CITATION/SUMMONS,0,0,0,0,0,0,11
2022-02,INDIGENOUS,WARNING ISSUED,1,0,2,0,0,0,4
2022-02,LATINO,ARREST,6,0,0,0,0,5,16
2022-02,LATINO,CITATION/SUMMONS,20,0,18,0,2,0,263
2022-02,LATINO,NO ENFORCEMENT ACTION,0,0,0,0,0,6,5
2022-02,LATINO,WARNING ISSUED,0,0,4,0,0,1,75
2022-02,UNKNOWN,ARREST,1,0,0,0,0,0,0
2022-02,UNKNOWN,CITATION/SUMMONS,9,0,15,0,0,0,347
2022-02,UNKNOWN,NO ENFORCEMENT ACTION,2,0,0,0,0,2,1
2022-02,UNKNOWN,WARNING ISSUED,0,0,4,0,0,2,45
2022-02,WHITE,ARREST,3,0,0,0,0,0,8
2022-02,WHITE,CITATION/SUMMONS,18,0,20,0,4,2,510
2022-02,WHITE,NO ENFORCEMENT ACTION,10,0,1,0,1,8,4
2022-02,WHITE,WARNING ISSUED,3,0,5,0,2,5,179
2022-03,AAPI,ARREST,0,0,0,0,0,0,2
2022-03,AAPI,CITATION/SUMMONS,9,0,4,0,0,1,167
2022-03,AAPI,NO ENFORCEMENT ACTION,0,0,0,0,0,3,0
2022-03,AAPI,WARNING ISSUED,0,1,2,0,0,0,56
2022-03,BLACK,ARREST,4,0,0,0,0,0,3
2022-03,BLACK,CITATION/SUMMONS,11,0,14,0,1,1,221
2022-03,BLACK,NO ENFORCEMENT ACTION,0,0,0,0,1,6,6
2022-03,BLACK,WARNING ISSUED,0,0,9,0,0,0,108
2022-03,INDIGENOUS,CITATION/SUMMONS,0,0,1,0,0,0,10
2022-03,INDIGENOUS,NO ENFORCEMENT ACTION,0,0,0,0,0,0,1
2022-03,INDIGENOUS,WARNING ISSUED,0,0,1,0,0,0,4
2022-03,LATINO,ARREST,5,0,0,0,0,2,9
2022-03,LATINO,CITATION/SUMMONS,26,0,14,0,5,3,247
2022-03,LATINO,NO ENFORCEMENT ACTION,2,0,0,0,0,4,4
2022-03,LATINO,WARNING ISSUED,0,0,2,0,0,3,95
2022-03,UNKNOWN,CITATION/SUMMONS,7,0,17,0,1,0,393
2022-03,UNKNOWN,NO ENFORCEMENT ACTION,0,0,0,0,2,3,3
2022-03,UNKNOWN,WARNING ISSUED,0,0,0,0,1,1,31
2022-03,WHITE,ARREST,2,0,0,0,0,2,6
2022-03,WHITE,CITATION/SUMMONS,28,1,44,0,0,2,659
2022-03,WHITE,NO ENFORCEMENT ACTION,6,0,0,0,1,5,3
2022-03,WHITE,WARNING ISSUED,3,1,10,0,1,0,206
2022-04,AAPI,CITATION/SUMMONS,6,0,5,0,2,0,142
2022-04,AAPI,NO ENFORCEMENT ACTION,1,1,0,0,0,0,0
2022-04,AAPI,WARNING ISSUED,0,0,3,0,0,0,34
2022-04,BLACK,ARREST,4,0,0,0,0,1,4
2022-04,BLACK,CITATION/SUMMONS,15,0,15,0,1,2,225
2022-04,BLACK,NO ENFORCEMENT ACTION,1,1,1,0,0,5,17
2022-04,BLACK,WARNING ISSUED,0,0,6,0,1,2,118
2022-04,INDIGENOUS,CITATION/SUMMONS,1,0,0,0,0,0,8
2022-04,INDIGENOUS,WARNING ISSUED,0,0,0,0,0,0,3
2022-04,LATINO,ARREST,7,2,0,0,0,2,11
2022-04,LATINO,CITATION/SUMMONS,38,4,21,0,2,2,279
2022-04,LATINO,NO ENFORCEMENT ACTION,3,3,0,0,1,6,6
2022-04,LATINO,WARNING ISSUED,2,0,3,0,0,4,86
2022-04,UNKNOWN,ARREST,1,0,0,0,0,0,0
2022-04,UNKNOWN,CITATION/SUMMONS,7,1,20,0,2,0,284
2022-04,UNKNOWN,NO ENFORCEMENT ACTION,3,1,0,0,0,3,1
2022-04,UNKNOWN,WARNING ISSUED,0,0,8,0,0,0,50
2022-04,WHITE,ARREST,7,0,0,0,0,0,3
2022-04,WHITE,CITATION/SUMMONS,35,0,57,0,3,3,574
2022-04,WHITE,NO ENFORCEMENT ACTION,4,2,0,0,1,2,1
2022-04,WHITE,WARNING ISSUED,2,0,11,0,2,6,218
2022-05,AAPI,ARREST,1,0,0,0,0,0,1
2022-05,AAPI,CITATION/SUMMONS,7,0,7,0,0,1,140
2022-05,AAPI,NO ENFORCEMENT ACTION,0,1,0,0,0,1,0
2022-05,AAPI,WARNING ISSUED,0,0,5,0,0,0,44
2022-05,BLACK,ARREST,4,0,0,0,0,3,0
2022-05,BLACK,CITATION/SUMMONS,13,1,11,0,1,0,182
2022-05,BLACK,NO ENFORCEMENT ACTION,3,1,0,0,0,6,5
2022-05,BLACK,WARNING ISSUED,0,0,10,0,0,3,96
2022-05,INDIGENOUS,CITATION/SUMMONS,0,0,0,0,0,0,7
2022-05,INDIGENOUS,WARNING ISSUED,0,0,2,0,0,0,5
2022-05,LATINO,ARREST,5,0,1,0,0,3,20
2022-05,LATINO,CITATION/SUMMONS,35,2,16,0,2,2,310
2022-05,LATINO,NO ENFORCEMENT ACTION,1,4,0,0,0,5,0
2022-05,LATINO,WARNING ISSUED,1,0,9,0,2,2,76
2022-05,UNKNOWN,ARREST,0,0,0,0,0,0,1
2022-05,UNKNOWN,CITATION/SUMMONS,11,0,11,0,0,2,189
2022-05,UNKNOWN,NO ENFORCEMENT ACTION,1,0,0,0,0,2,1
2022-05,UNKNOWN,WARNING ISSUED,1,0,0,0,1,0,41
2022-05,WHITE,ARREST,6,2,0,0,0,0,4
2022-05,WHITE,CITATION/SUMMONS,30,0,23,0,1,2,569
2022-05,WHITE,NO ENFORCEMENT ACTION,7,7,0,0,0,11,1
2022-05,WHITE,WARNING ISSUED,2,0,21,0,0,2,179
2022-06,AAPI,ARREST,0,1,0,0,0,0,3
2022-06,AAPI,CITATION/SUMMONS,11,0,10,0,1,1,152
2022-06,AAPI,NO ENFORCEMENT ACTION,0,0,0,0,0,1,0
2022-06,AAPI,WARNING ISSUED,1,0,2,0,0,0,46
2022-06,BLACK,ARREST,1,0,0,0,0,1,5
2022-06,BLACK,CITATION/SUMMONS,16,0,22,0,2,1,283
2022-06,BLACK,NO ENFORCEMENT ACTION,14,0,0,0,0,11,3
2022-06,BLACK,WARNING ISSUED,2,0,18,0,1,4,109
2022-06,INDIGENOUS,CITATION/SUMMONS,1,0,1,0,0,0,19
2022-06,INDIGENOUS,WARNING ISSUED,0,0,1,0,0,0,6
2022-06,LATINO,ARREST,11,0,2,0,0,7,15
2022-06,LATINO,CITATION/SUMMONS,42,2,26,0,8,1,330
2022-06,LATINO,NO ENFORCEMENT ACTION,5,1,0,0,0,14,4
2022-06,LATINO,WARNING ISSUED,1,0,7,0,0,5,113
2022-06,UNKNOWN,ARREST,0,0,0,0,0,1,1
2022-06,UNKNOWN,CITATION/SUMMONS,10,0,19,0,1,1,338
2022-06,UNKNOWN,NO ENFORCEMENT ACTION,1,0,0,0,0,3,1
2022-06,UNKNOWN,WARNING ISSUED,1,0,5,0,1,1,62
2022-06,WHITE,ARREST,9,0,0,0,0,1,5
2022-06,WHITE,CITATION/SUMMONS,37,2,47,0,2,6,829
2022-06,WHITE,NO ENFORCEMENT ACTION,12,2,0,0,0,24,4
2022-06,WHITE,WARNING ISSUED,1,0,19,0,0,5,223
2022-07,AAPI,ARREST,1,0,0,0,0,0,1
2022-07,AAPI,CITATION/SUMMONS,8,0,5,0,0,1,188
2022-07,AAPI,NO ENFORCEMENT ACTION,0,0,0,0,0,7,6
2022-07,AAPI,WARNING ISSUED,0,0,5,0,0,1,57
2022-07,BLACK,ARREST,1,0,1,0,0,0,4
2022-07,BLACK,CITATION/SUMMONS,11,0,25,0,2,1,291
2022-07,BLACK,NO ENFORCEMENT ACTION,10,0,1,0,0,11,6
2022-07,BLACK,WARNING ISSUED,0,0,30,0,1,5,130
2022-07,INDIGENOUS,CITATION/SUMMONS,0,0,0,0,0,0,16
2022-07,INDIGENOUS,WARNING ISSUED,0,0,1,0,0,0,10
2022-07,LATINO,ARREST,14,0,0,0,0,1,16
2022-07,LATINO,CITATION/SUMMONS,36,1,26,0,3,1,359
2022-07,LATINO,NO ENFORCEMENT ACTION,3,0,2,0,0,14,7
2022-07,LATINO,WARNING ISSUED,2,0,17,0,4,4,102
2022-07,UNKNOWN,ARREST,0,0,0,0,0,0,1
2022-07,UNKNOWN,CITATION/SUMMONS,6,0,11,0,0,1,305
2022-07,UNKNOWN,NO ENFORCEMENT ACTION,4,0,1,0,0,3,2
2022-07,UNKNOWN,WARNING ISSUED,1,0,3,0,1,1,62
2022-07,WHITE,ARREST,7,1,0,0,0,1,7
2022-07,WHITE,CITATION/SUMMONS,33,0,65,0,7,2,806
2022-07,WHITE,NO ENFORCEMENT ACTION,13,2,6,0,0,25,14
2022-07,WHITE,WARNING ISSUED,2,0,20,0,2,5,301
2022-08,AAPI,ARREST,1,0,0,0,0,0,1
2022-08,AAPI,CITATION/SUMMONS,6,0,6,0,0,0,174
2022-08,AAPI,NO ENFORCEMENT ACTION,2,0,1,0,1,5,3
2022-08,AAPI,WARNING ISSUED,0,0,8,0,0,1,68
2022-08,BLACK,ARREST,3,0,0,0,0,0,4
2022-08,BLACK,CITATION/SUMMONS,22,2,16,0,1,5,300
2022-08,BLACK,NO ENFORCEMENT ACTION,10,1,0,0,0,8,3
2022-08,BLACK,WARNING ISSUED,0,0,18,0,1,1,153
2022-08,INDIGENOUS,CITATION/SUMMONS,0,0,0,0,1,0,14
2022-08,INDIGENOUS,WARNING ISSUED,0,0,5,0,0,0,10
2022-08,LATINO,ARREST,6,3,0,0,0,1,11
2022-08,LATINO,CITATION/SUMMONS,34,3,28,0,7,4,432
2022-08,LATINO,NO ENFORCEMENT ACTION,13,2,1,0,0,13,3
2022-08,LATINO,WARNING ISSUED,2,0,21,0,4,4,148
2022-08,UNKNOWN,ARREST,0,0,0,0,0,0,1
2022-08,UNKNOWN,CITATION/SUMMONS,11,0,32,0,1,1,364
2022-08,UNKNOWN,NO ENFORCEMENT ACTION,10,0,0,0,0,3,6
2022-08,UNKNOWN,WARNING ISSUED,3,0,13,0,1,0,82
2022-08,WHITE,ARREST,6,0,0,0,0,4,7
2022-08,WHITE,CITATION/SUMMONS,40,1,68,0,2,0,918
2022-08,WHITE,NO ENFORCEMENT ACTION,25,0,2,0,0,19,11
2022-08,WHITE,WARNING ISSUED,3,0,41,0,1,2,334
2022-09,AAPI,ARREST,0,0,0,0,0,1,2
2022-09,AAPI,CITATION/SUMMONS,19,0,8,0,0,2,190
2022-09,AAPI,NO ENFORCEMENT ACTION,2,0,0,0,0,3,0
2022-09,AAPI,WARNING ISSUED,1,0,4,0,0,0,66
2022-09,BLACK,ARREST,1,0,0,0,0,1,7
2022-09,BLACK,CITATION/SUMMONS,17,0,30,0,1,0,295
2022-09,BLACK,NO ENFORCEMENT ACTION,8,0,1,0,1,10,9
2022-09,BLACK,WARNING ISSUED,1,0,35,0,0,0,169
2022-09,INDIGENOUS,CITATION/SUMMONS,0,0,0,0,0,0,22
2022-09,INDIGENOUS,WARNING ISSUED,0,0,2,0,1,0,6
2022-09,LATINO,ARREST,5,2,2,0,0,2,21
2022-09,LATINO,CITATION/SUMMONS,43,1,31,0,6,1,401
2022-09,LATINO,NO ENFORCEMENT ACTION,11,0,0,0,0,10,2
2022-09,LATINO,WARNING ISSUED,3,0,23,0,3,3,140
2022-09,UNKNOWN,CITATION/SUMMONS,4,0,11,0,1,1,264
2022-09,UNKNOWN,NO ENFORCEMENT ACTION,6,0,1,0,0,1,2
2022-09,UNKNOWN,WARNING ISSUED,2,0,7,0,1,3,96
2022-09,WHITE,ARREST,8,0,0,0,0,0,6
2022-09,WHITE,CITATION/SUMMONS,50,1,79,0,2,2,827
2022-09,WHITE,NO ENFORCEMENT ACTION,30,0,3,0,1,25,10
2022-09,WHITE,WARNING ISSUED,8,0,40,0,2,4,344
