Month,Race/Ethnicity,action_taken,CALLS FOR SERVICE,CHECK POINT,EQUIPMENT VIOLATION,MISSING,OTHER INVESTIGATIVE DETENTION,TERRY STOP,TRAFFIC VIOLATION
2020-10,WHITE,WARNING ISSUED,3,0,28,0,2,3,242
2020-11,AAPI,ARREST,6,0,0,0,0,2,9
2020-11,AAPI,CITATION/SUMMONS,4,0,2,0,0,0,97
2020-11,AAPI,NO ENFORCEMENT ACTION,1,0,1,0,0,1,0
2020-11,AAPI,WARNING ISSUED,0,0,2,0,0,0,55
2020-11,BLACK,ARREST,32,0,2,0,0,13,15
2020-11,BLACK,CITATION/SUMMONS,9,0,9,0,2,1,237
2020-11,BLACK,NO ENFORCEMENT ACTION,2,0,2,0,0,8,0
2020-11,BLACK,WARNING ISSUED,2,0,26,0,0,2,129
2020-11,INDIGENOUS,CITATION/SUMMONS,0,0,0,0,0,0,4
2020-11,LATINO,ARREST,54,0,1,0,0,11,27
2020-11,LATINO,CITATION/SUMMONS,37,0,12,0,7,0,277
2020-11,LATINO,NO ENFORCEMENT ACTION,2,0,0,0,2,8,0
2020-11,LATINO,WARNING ISSUED,0,0,17,0,2,3,106
2020-11,UNKNOWN,ARREST,1,0,0,0,0,0,0
2020-11,UNKNOWN,CITATION/SUMMONS,9,0,2,0,1,0,180
2020-11,UNKNOWN,NO ENFORCEMENT ACTION,1,0,0,0,0,2,1
2020-11,UNKNOWN,WARNING ISSUED,0,0,7,0,0,0,47
2020-11,WHITE,ARREST,49,0,0,0,0,9,28
2020-11,WHITE,CITATION/SUMMONS,33,0,11,0,4,0,645
2020-11,WHITE,NO ENFORCEMENT ACTION,2,0,0,0,3,14,2
2020-11,WHITE,WARNING ISSUED,1,0,24,0,2,2,218
2020-12,AAPI,ARREST,7,0,0,0,0,0,3
2020-12,AAPI,CITATION/SUMMONS,9,0,1,0,1,0,130
2020-12,AAPI,NO ENFORCEMENT ACTION,0,0,2,0,0,3,0
2020-12,AAPI,WARNING ISSUED,0,0,7,0,0,3,68
2020-12,BLACK,ARREST,60,0,0,0,0,9,28
2020-12,BLACK,CITATION/SUMMONS,8,0,6,0,1,0,312
2020-12,BLACK,NO ENFORCEMENT ACTION,5,0,3,0,1,6,2
2020-12,BLACK,WARNING ISSUED,2,0,12,0,2,0,144
2020-12,INDIGENOUS,CITATION/SUMMONS,0,0,0,0,0,0,4
2020-12,INDIGENOUS,WARNING ISSUED,0,0,0,0,0,0,4
2020-12,LATINO,ARREST,48,0,0,0,0,29,35
2020-12,LATINO,CITATION/SUMMONS,19,0,13,0,6,0,403
2020-12,LATINO,NO ENFORCEMENT ACTION,1,0,5,0,1,5,1
2020-12,LATINO,WARNING ISSUED,0,0,18,0,3,4,139
2020-12,UNKNOWN,ARREST,1,0,0,0,0,0,0
2020-12,UNKNOWN,CITATION/SUMMONS,8,0,2,0,3,0,251
2020-12,UNKNOWN,NO ENFORCEMENT ACTION,0,0,0,0,0,5,1
2020-12,UNKNOWN,WARNING ISSUED,0,0,6,0,1,2,64
2020-12,WHITE,ARREST,46,0,4,0,0,7,24
2020-12,WHITE,CITATION/SUMMONS,21,0,17,0,3,0,772
2020-12,WHITE,NO ENFORCEMENT ACTION,6,0,3,0,0,14,3
2020-12,WHITE,WARNING ISSUED,1,0,33,0,1,2,255
2021-01,AAPI,ARREST,5,0,0,0,0,0,1
2021-01,AAPI,CITATION/SUMMONS,1,0,0,0,0,0,3
2021-01,AAPI,WARNING ISSUED,1,0,0,0,0,0,16
2021-01,BLACK,ARREST,78,0,1,0,0,10,30
2021-01,BLACK,CITATION/SUMMONS,3,0,4,0,0,0,26
2021-01,BLACK,NO ENFORCEMENT ACTION,4,0,0,0,0,4,0
2021-01,BLACK,WARNING ISSUED,0,0,2,0,0,0,45
2021-01,LATINO,ARREST,45,0,2,0,0,14,28
2021-01,LATINO,CITATION/SUMMONS,5,0,6,0,0,0,23
2021-01,LATINO,NO ENFORCEMENT ACTION,3,0,0,0,0,7,0
2021-01,LATINO,WARNING ISSUED,0,0,0,0,0,0,27
2021-01,UNKNOWN,CITATION/SUMMONS,2,0,0,0,0,0,1
2021-01,UNKNOWN,NO ENFORCEMENT ACTION,1,0,0,0,0,3,0
2021-01,UNKNOWN,WARNING ISSUED,0,0,0,0,0,1,14
2021-01,WHITE,ARREST,30,0,0,0,0,14,24
2021-01,WHITE,CITATION/SUMMONS,9,0,1,0,0,1,39
2021-01,WHITE,NO ENFORCEMENT ACTION,4,0,0,0,0,8,0
